post_verified,post_type,building_type,squares,nums_bedroom,nums_wc,nums_floor,furniture,price,project_names,streets,wards,districts,type_squares
0,vip-silver,Căn hộ chung cư,44.0,1,1,1,Đầy đủ,9.0,Dự án D’Lusso,Đường Nguyễn Thị Định,Phường An Phú,2,40-60
0,vip-silver,Căn hộ chung cư,64.0,1,1,1,Cơ bản,9.0,Không thuộc dự án,Đường Nguyễn Thị Định,Phường An Phú,2,60-80
0,vip-silver,Căn hộ chung cư,80.0,2,2,1,Đầy đủ,11.0,Dự án Sunrise City View,Đường Nguyễn Hữu Thọ,Phường Tân Hưng,7,60-80
0,vip-silver,Căn hộ chung cư,99.0,2,2,1,Đầy đủ,12.0,Dự án Sunrise City,Đường Đào Trí,Phường Phú Thuận,7,80-100
0,vip-silver,Căn hộ chung cư,97.0,3,2,1,Đầy đủ,11.5,Dự án Akari City Nam Long,Đường Võ Văn Kiệt,Phường An Lạc,Bình Tân,80-100
0,vip-silver,Căn hộ chung cư,82.0,2,2,1,Đầy đủ,15.0,Dự án The Gold View,Đường Bến Vân Đồn,Phường 1,4,80-100
0,vip-silver,Căn hộ chung cư,67.0,2,2,1,Đầy đủ,11.5,Dự án Q7 Saigon Riverside,Đường Đào Trí,Phường Phú Thuận,7,60-80
0,vip-silver,Căn hộ chung cư,90.0,2,2,1,Cao cấp,16.5,Dự án Saigon Pearl,Đường Nguyễn Hữu Cảnh,Phường 22,Bình Thạnh,80-100
0,vip-silver,Căn hộ chung cư,66.66,2,2,1,Đầy đủ,11.5,Dự án Q7 Saigon Riverside,Đường Đào Trí,Phường Phú Thuận,7,60-80
0,vip-silver,Căn hộ chung cư,82.0,2,2,1,Đầy đủ,27.5,Dự án The Metropole,Đường Trần Não,Phường An Khánh,2,80-100
0,vip-silver,Căn hộ chung cư,75.0,2,2,1,Đầy đủ,13.0,Dự án The Sun Avenue,Đường Mai Chí Thọ,Phường An Phú,2,60-80
0,vip-silver,Căn hộ chung cư,74.0,2,2,1,Đầy đủ,11.0,Dự án 41Bis Điện Biên Phủ,Đường Điện Biên Phủ,Phường 25,Bình Thạnh,60-80
0,vip-silver,Căn hộ chung cư,75.0,2,2,1,Cơ bản,8.5,Dự án Akari City Nam Long,Đường Võ Văn Kiệt,Phường An Lạc,Bình Tân,60-80
0,vip-silver,Căn hộ chung cư,80.0,2,2,1,Đầy đủ,14.0,Dự án Florita Đức Khải,Đường Nguyễn Hữu Thọ,Phường Tân Hưng,7,60-80
0,vip-silver,Căn hộ chung cư,68.0,2,2,1,Đầy đủ,7.0,Dự án Centum Wealth,Đường Phan Chu Trinh,Phường Hiệp Phú,9,60-80
0,vip-silver,Căn hộ chung cư,50.0,1,1,1,Đầy đủ,6.0,Không thuộc dự án,Đường Hoàng Hoa Thám,Phường 13,Tân Bình,40-60
0,vip-silver,Căn hộ chung cư,70.0,2,2,1,Đầy đủ,7.5,Dự án Q7 Boulevard,Đường Nguyễn Lương Bằng,Phường Phú Mỹ,7,60-80
0,vip-normal,Căn hộ chung cư,75.0,3,2,1,Đầy đủ,11.0,Dự án Q7 Boulevard,Đường Nguyễn Lương Bằng,Phường Phú Mỹ,7,60-80
0,vip-normal,Căn hộ chung cư,50.0,1,1,1,Đầy đủ,7.0,Dự án Q7 Boulevard,Đường Nguyễn Lương Bằng,Phường Phú Mỹ,7,40-60
0,vip-silver,Căn hộ chung cư,35.0,1,1,1,Đầy đủ,8.5,Dự án The Sun Avenue,Đường Mai Chí Thọ,Phường An Phú,2,20-40
0,vip-silver,Căn hộ chung cư,50.0,1,1,1,Đầy đủ,9.0,Không thuộc dự án,Đường Trần Quang Diệu,Phường 13,3,40-60
0,vip-silver,Căn hộ chung cư,55.0,1,1,1,Đầy đủ,15.0,Dự án Vinhomes Central Park,Đường Điện Biên Phủ,Phường 22,Bình Thạnh,40-60
0,vip-silver,Căn hộ chung cư,118.0,3,2,1,Đầy đủ,25.0,Dự án Vinhomes Central Park,Đường Điện Biên Phủ,Phường 22,Bình Thạnh,100+
0,vip-silver,Căn hộ chung cư,90.0,2,2,1,Đầy đủ,18.0,Dự án Vinhomes Central Park,Đường Điện Biên Phủ,Phường 22,Bình Thạnh,80-100
0,vip-silver,Căn hộ chung cư,99.0,2,2,1,Đầy đủ,18.0,Dự án Sunrise City,Đường Nguyễn Hữu Thọ,Phường Tân Hưng,7,80-100
0,vip-silver,Căn hộ chung cư,40.0,1,1,1,Đầy đủ,10.0,Dự án Sunrise City View,Đường Nguyễn Hữu Thọ,Phường Tân Hưng,7,20-40
0,vip-silver,Căn hộ chung cư,70.0,2,2,1,Cơ bản,7.5,Dự án Q7 Boulevard,Đường Nguyễn Lương Bằng,Phường Phú Mỹ,7,60-80
0,vip-silver,Căn hộ chung cư,49.0,1,1,1,Đầy đủ,6.0,Dự án Moonlight Residences,Đường Đặng Văn Bi,Phường Bình Thọ,Thủ Đức,40-60
0,vip-silver,Căn hộ chung cư,65.0,2,2,1,Đầy đủ,9.0,Không thuộc dự án,Đường Phan Văn Hớn,Phường Tân Thới Nhất,12,60-80
